"Share My Cart","Share My Cart"
"Ordering with a group, or want to show a friend what you picked? Generate a link below.","Ordering with a group, or want to show a friend what you picked? Generate a link below."
"Generate Link","Generate Link"
"Shareable link","Shareable link"
"Copy Link","Copy Link"
"Copied!","Copied!"
"Press Ctrl+C (Cmd+C on a Mac) to copy the link.","Press Ctrl+C (Cmd+C on a Mac) to copy the link."
"We could not create a share link. Please try again.","We could not create a share link. Please try again."
"We could not create a share link for your cart. Please try again.","We could not create a share link for your cart. Please try again."
"There is nothing in your cart to share.","There is nothing in your cart to share."
"Your cart is not available right now.","Your cart is not available right now."
"Your session has expired. Please reload the page.","Your session has expired. Please reload the page."
"Cart sharing is not available.","Cart sharing is not available."
"That shared cart link is not valid.","That shared cart link is not valid."
"That shared cart link is no longer valid.","That shared cart link is no longer valid."
"That shared cart link belongs to a different store.","That shared cart link belongs to a different store."
"We could not open that shared cart. Please try again.","We could not open that shared cart. Please try again."
"The shared cart has been added to your cart.","The shared cart has been added to your cart."
"The shared cart could not be saved.","The shared cart could not be saved."
"The shared cart could not be deleted.","The shared cart could not be deleted."
"Could not allocate a unique share token after %1 attempts.","Could not allocate a unique share token after %1 attempts."
"Enable Cart Sharing","Enable Cart Sharing"
"Link Lifetime (days)","Link Lifetime (days)"
"Delete Expired Links by Cron","Delete Expired Links by Cron"
"Share Cart","Share Cart"
